Date,Description,Theme,Jurisdiction,Area,Note,Label,Latitude,Longitude,Source
01/07/1974,Jerusalem Walls National Park established surrounding the Old City of Jerusalem (environmental designation used to limit development around Old City).,Heritage & Archaeology,East Jerusalem (Israeli administration),Jerusalem Old City and surrounding slopes,Designation introduced following 1967 annexation of East Jerusalem. Exact declaration date not consistently recorded; mid-year used as closest available period.,Jerusalem Walls NP founded,31.77777778,35.23166667,https://en.parks.org.il/reserve-park/jerusalem-walls-city-of-david-national-park/
01/01/1979,Wadi Qana area designated a closed military zone with access restrictions imposed (access restrictions reported 1979-1982).,Military,"State of Israel (military administration, West Bank)",Deir Istiya / Wadi Qana,Restrictions reported between 1979 1982; exact initial order date not published; year start retained as closest documented point. Location approximated near Deir Istiya.,Wadi Qana closed zone,32.13056,35.14,https://www.ochaopt.org/content/settlement-expansion-around-israeli-declared-nature-reserve
29/09/1981,First generating unit at Orot Rabin power station enters commercial operation (1981-1984 commissioning window). ,Energy,State of Israel,Hadera (Orot Rabin power station),Unit commissioning occurred 1981 1984; September 1981 corresponds to first unit synchronisation period.,Orot Rabin online (Block A),32.4749,34.8922,https://www.gem.wiki/Orot_Rabin_power_station
01/06/1981,"Firing Zone 918 designated as a military training area in Masafer Yatta. Designated as a closed military training area (early 1980s, some sources cite 1981).",Military,West Bank (Israeli military administration),Masafer Yatta / Khirbet a-Tuba,Early 1980s designation; 1981 commonly cited; exact military order date varies across sources.,FZ 918 designated,31.406821,35.177354,https://www.ochaopt.org/content/masafer-yatta-communities-risk-forcible-transfer-june-2022
08/11/1981,"Israeli Civil Administration established in the West Bank, replacing the Military Governorate. Transfer to COGAT.",Military,West Bank (Israeli Civil Administration),West Bank,Established by Military Order No. 947; administrative authority transferred from Military Governorate. End of direct military governorate; shift to civilian-coordinated administration.,Civil Administration established,31.9522,35.2332,https://www.gov.il/en/departments/coordination-of-government-activities-in-the-territories/govil-landing-page
19/09/1983,Israel Space Agency established by government decision to coordinate civilian space activities.,Infrastructure & Technology,State of Israel,National (Israel),Established under Ministry of Science and Technology; coordinates civil space policy and programmes. Civil space agency; parallel military space capabilities develop via other channels.,Israel Space Agency founded,31.7683,35.2137,https://www.space.gov.il/en/about
03/05/1983,Nahal Qana / Wadi Qana declared a nature reserve under Israeli military order in the West Bank.,Heritage & Archaeology,West Bank (Israeli military administration),Deir Istiya / Wadi Qana,Declared by military order; reserve boundaries overlap agricultural valley areas.,Wadi Qana reserve declared,32.13056,35.14,https://www.ochaopt.org/sites/default/files/ocha_opt_the_humanitarian_monitor_2013_08_23_english.pdf
08/12/1987,First Intifada begins with widespread Palestinian protests and civil unrest in the West Bank and Gaza Strip.,Resistance,West Bank and Gaza Strip,West Bank and Gaza Strip,"Uprising began in Gaza and spread regionally; involved strikes, demonstrations and closures.",First Intifada starts,31.5017,34.4668,https://www.un.org/unispal/history/
01/01/1988,Unified National Leadership of the Uprising (UNLU) established to coordinate First Intifada activities. ,Resistance,West Bank and Gaza Strip,Occupied Palestinian territories,"Coordinated strikes, protests, and civil disobedience.",First Intifada,31.9522,35.2332,https://www.ebsco.com/research-starters/history/palestinian-intifada-begins
19/09/1988,Ofek-1 reconnaissance satellite launched into low Earth orbit from Palmachim Airbase using the Shavit launch vehicle. Launched by Israel Aerospace Industries; beginning of the Ofek satellite series.,Infrastructure & Technology,State of Israel,Palmachim Airbase,Low Earth orbit reconnaissance capability; part of long-running intelligence satellite series. First satellite in the Ofek series; westward launch trajectory over the Mediterranean.,Ofek-1 launch,31.932,34.688,https://en.wikipedia.org/wiki/Ofeq
14/12/1987,Hamas movement established during the early phase of the First Intifada.,Resistance,Gaza Strip,Gaza Strip,Emerged as an Islamist resistance movement during uprising.,Hamas founded,31.5017,34.4668,https://www.palestine-studies.org/en/node/34518
13/09/1993,"Oslo I Accord (Declaration of Principles) signed in Washington, establishing framework for Palestinian self-government.; Palestinian Authority established; Israeli redeployment from Areas A and B.",Governance & Territory,Israel / Palestine Liberation Organisation,West Bank and Gaza Strip,Signed 13 September 1993; Palestinian Authority formally established in 1994 following implementation agreements. Creates Palestinian self-governance in parts of West Bank and Gaza.,Oslo Accords,38.8977,-77.0365,https://peacemaker.un.org/en/node/9432
30/03/1993,"Comprehensive closure imposed on the occupied Palestinian territories restricting movement between the West Bank, Gaza Strip and Israel.",Military,West Bank and Gaza Strip,West Bank and Gaza Strip,First long-term general closure imposed March 1993; system of permits and checkpoints subsequently institutionalised. Restricts Palestinian movement; becomes permanent feature of occupation.,Checkpoints introduced,31.9522,35.2332,https://www.btselem.org/topic/freedom_of_movement
04/05/1994,"The Israelis and the Palestinians sign the Gaza-Jericho Agreement, which begins implementation of the Oslo Accords. The agreement provides for an Israeli military withdrawal from Gaza and Jericho, a town in the West Bank, and for a transfer of authority from Israeli administration to the newly formed Palestinian Authority. The agreement also establishes the structure and composition of the Palestinian Authority, its jurisdiction and legislative powers, a Palestinian police force, and relations between Israel and the Palestinian Authority",Governance & Territory,Israel / Palestine Liberation Organisation,Gaza Strip and Jericho (West Bank),Agreement provided for Israeli military withdrawal from Gaza and Jericho and transfer of authority to the Palestinian Authority.,Gaza Jericho Agreement,31.7683,35.2137,https://unsco.unmissions.org/sites/default/files/agreement_on_the_gaza_strip_and_the_jericho_area.pdf
26/10/1994,"Israel and Jordan sign a peace treaty, formally establishing peace and full diplomatic relations between the two states.",Governance & Territory,State of Israel / Hashemite Kingdom of Jordan,"Arava/Araba Crossing Point, Israel-Jordan border","The treaty established the international boundary between Israel and Jordan and agreements concerning water, security, diplomatic relations and bilateral cooperation. Israel also recognised Jordan's special role in Muslim holy shrines in Jerusalem and agreed to give high priority to Jordan's historic role in future permanent-status negotiations.",Israel-Jordan Peace Treaty,29.575,34.9781,https://www.un.org/unispal/document/auto-insert-179122/
01/07/1995,Palestinian Energy Authority established to oversee electricity and energy sector planning in Palestinian-administered areas (PENRA / PEA). Established (mandated for energy sector governance).,Energy,Palestinian Authority,West Bank and Gaza Strip,Established mid-1990s following Oslo governance arrangements; later renamed Palestinian Energy and Natural Resources Authority (PENRA). Institutional anchor for Palestinian electricity sector reforms and planning under constraints.,PENRA established,31.9038,35.2034,https://www.un.org/unispal/document/auto-insert-210044/
28/09/1995,"Oslo II Interim Agreement signed, establishing Areas A, B and C in the West Bank with differing administrative and security arrangements.",Governance & Territory,Government of Israel / PLO,"Washington, D.C., United States","The agreement established interim administrative divisions across the West Bank. In Area C, Israel retained control over security and territory-related matters, including planning and zoning, while some civil responsibilities not related to territory were transferred to the Palestinian Council. The agreement envisaged further transfers of jurisdiction that were not fully implemented.","Oslo II: West Bank Areas A, B and C",38.8977,-77.0365,https://www.un.org/unispal/document/auto-insert-185434/
01/07/1996,Second block of Orot Rabin coal-fired power station enters operation near Hadera.,Energy,State of Israel,Hadera (Orot Rabin power station),Unit commissioning completed in 1996; exact day varies; mid-year used as closest documented period. Last major coal expansion before gas-dominant era.,Orot Rabin online (Block B),32.4749,34.8922,https://www.gem.wiki/Orot_Rabin_power_station
01/06/1996,Porashim Kanef' begins (IEC + INPA + SPNI) to reduce raptor electrocution along electricity infrastructure; includes systematic surveys along power lines and mitigation (pole insulation/retrofits).,Conservation & Environment,State of Israel,National electricity grid (IEC),"Joint initiative of Israel Electric Corporation, Israel Nature and Parks Authority, and Society for the Protection of Nature in Israel; year 1996 documented. Program creates long-term monitoring and intervention capacity around poles/lines and raptor mortality.",Porashim Kanef launched,31.7683,35.2137,https://www.unep-aewa.org/sites/default/files/publication/ts50_electr_guidelines_03122014.pdf
03/12/1996,Israel becomes a Contracting Party to the Ramsar Convention on Wetlands (entry into force 1996).,Conservation & Environment,State of Israel,National (Israel),Convention entered into force for Israel 3 December 1996.,Ramsar: Israel entry,31.7683,35.2137,https://www.ramsar.org/contracting-parties
16/05/1996,AMOS-1 communications satellite launched into geostationary transfer orbit; Israel's early GEO communications satellite capability.,Infrastructure & Technology,State of Israel,Palmachim launch site / Geostationary orbit,First Israeli commercial communications satellite. Comms satellite program supports broadcast/telecom capacity; illustrates space-based communications infrastructure build-out.,AMOS-1 launch,31.932,34.688,https://en.wikipedia.org/wiki/AMOS-1_(satellite)
12/11/1996,Hula Nature Reserve designated a Wetland of International Importance under the Ramsar Convention.,Heritage & Archaeology,State of Israel,Hula Nature Reserve,Ramsar Site No. 868. Designation date and coordinates from Ramsar Sites Information Service.,Hula Ramsar site,33.06666667,35.58333333,https://rsis.ramsar.org/ris/868
29/12/1999,Palestinian Environment Law No. 7 of 1999 adopted establishing statutory framework for environmental protectio (statutory basis for wildlife/bird protection).,Conservation & Environment,Palestinian Authority,West Bank and Gaza Strip,Law provides legal basis for wildlife and habitat protection; implementation varies by administrative control. Applies as PA law; practical enforcement varies by control arrangements and capacity.,Palestinian Environment Law,31.9038,35.2034,https://environment.ps/wp-content/uploads/2022/05/Law_No_7_For_The_Year_1999_Concerning_The_Environment.pdf
01/06/2000,Mari-B offshore natural gas field development confirmed for commercial supply offshore Ashdod.,Energy,State of Israel (offshore EEZ)),Mediterranean Sea (Mari-B field),Discovery late 1990s; development phase around 2000 preceding production in 2004. Often described as the first commercial field to supply gas to Israel.,Mari-B discovered,31.75,34.4,https://www.gov.il/BlobFolder/news/offshore_bid_round_2/he/status_gas_fields.pdf
01/06/2000,Wadi Gaza declared a nature reserve by the Palestinian Environmental Quality Authority.,Heritage & Archaeology,Palestinian Authority,Wadi Gaza,Declared June 2000; exact day not specified. Coordinates use Wadi Gaza mouth point.,Wadi Gaza reserve declared,31.46389,34.37583,https://www.undp.org/papp/projects/wadi-gaza-coastal-wetland-conservation-and-development
24/07/2000,"Camp David Summit concludes without agreement following negotiations between the Government of Israel and the Palestine Liberation Organization, mediated by the United States.",Governance & Territory,Government of Israel / PLO / United States,"Camp David, Maryland, United States","The negotiations addressed permanent-status issues including Jerusalem, Palestinian refugees, Israeli settlements, borders and security arrangements. The parties did not reach an agreement.",Camp David Summit: no agreement reached,39.64833,-77.465,https://clintonwhitehouse5.archives.gov/textonly/library/hot_releases/July_25_2000_1.html
28/09/2000,Second Intifada begins with widespread unrest in the West Bank and Gaza Strip.,Resistance,West Bank and Gaza Strip,West Bank and Gaza Strip,Escalation followed visit to Haram al-Sharif/Temple Mount; period marked by closures and later barrier construction,Second Intifada starts,31.777778,35.235,https://www.palquest.org/en/highlight/31123/xi-second-intifada-and-post-arafat-era
29/09/2000,Clashes escalate across West Bank and Gaza following protests at Haram al-Sharif/Temple Mount.,Resistance,West Bank and Gaza Strip,Jerusalem / West Bank / Gaza,Marks rapid transition from protests to sustained armed confrontation.,Early escalation (militarisation phase),31.778,35.235,
02/12/2001,Masada and the Old City of Acre inscribed on the UNESCO World Heritage List.,Heritage & Archaeology,State of Israel,Masada (Dead Sea) / Acre (Akko),Both properties inscribed during the 25th session of the World Heritage Committee in Helsinki (2001).,Masada & Acre UNESCO,31.31555556,35.35361111,https://whc.unesco.org/en/list/1040
23/06/2002,Israeli cabinet approves construction of the West Bank separation barrier.,Military,West Bank (Israeli government decision),West Bank (including Nablus and Jenin),Construction began mid-2002 following cabinet decision 23 June 2002. Reconfigures territory and movement; impacts land use and environment.,West Bank barrier construction begins,31.9522,35.2332,https://news.un.org/en/story/2003/05/66702
29/03/2002,Operation Defensive Shield launched by Israeli forces in West Bank cities.,Military,West Bank (Israeli military operation),"West Bank (Nablus, Jenin, Ramallah)",Large-scale operation following escalation during Second Intifada. Reoccupation of Area A; heavy destruction in Jenin,Operation Defensive Shield,32.2211,35.2544,https://www.ohchr.org/en/press-releases/2009/10/report-secretary-general-recent-events-jenin-other-palestinian-cities?sub-site=HRC
30/04/2003,"The Quartet (United States, European Union, United Nations and Russia) formally presents the Road Map for Peace to the Government of Israel and the Palestinian Authority, outlining a phased process toward a permanent two-state solution.",Governance & Territory,International (Quartet),"Ramallah, West Bank","The performance-based framework proposed reciprocal political, security, humanitarian and institutional steps. It called for Palestinian institutional and security reforms and for Israel to freeze all settlement activity, including natural growth, and dismantle settlement outposts erected since March 2001.",Road Map for Peace,31.9038,35.2034,https://www.un.org/unispal/document/auto-insert-186742/
17/07/2003,Israel Natural Gas Lines (INGL) incorporated as a government-owned company to develop national gas transmission infrastructure; natural gas transmission system development accelerates.,Energy,State of Israel,National (Israel),Established to construct and operate high-pressure natural gas transmission network. State-owned transmission monopoly becomes backbone for gas-to-power transition.,INGL incorporated,31.7683,35.2137,https://www.bdicode.co.il/en/company/israel-natural-gas-lines-ltd-en/eng_services_infrastructure/
05/07/2003,White City of Tel Aviv inscribed on the UNESCO World Heritage List.,Heritage & Archaeology,State of Israel,Tel Aviv,Inscribed at the 27th session of the World Heritage Committee (2003). Coordinates from UNESCO 'Maps' page.,White City UNESCO,32.07777778,34.774167,https://whc.unesco.org/en/list/1096
17/02/2004,Israel Natural Gas Lines (INGL) granted license to establish/operate natural gas transmission system; Mari-B begins supplying gas to Israeli power plants (domestic gas production begins).,Energy,State of Israel,National gas transmission network,Licence enabled expansion of gas supply from offshore fields to power stations. Key infrastructure + supply pivot enabling gas-fired generation expansion.,Domestic gas begins + transmission license,31.7683,35.2137,https://www.ingl.co.il/en/
28/06/2005,Incense Route   Desert Cities in the Negev inscribed on UNESCO World Heritage List.,Heritage & Archaeology,State of Israel,Negev desert cities,Inscribed during 29th World Heritage Committee session (2005).,Desert Cities UNESCO,30.861111,34.779444,https://whc.unesco.org/en/list/1107
15/07/2005,Biblical Tels (Megiddo) inscribed on UNESCO World Heritage List.,Heritage & Archaeology,State of Israel,Megiddo / Hazor / Beer Sheba,Inscribed during 29th World Heritage Committee session (2005). Coordinates from UNESCO 'Maps' pages.,Biblical Tels UNESCO,32.58528,35.18444,https://whc.unesco.org/en/list/1108
15/07/2005,Biblical Tels (Hazor) inscribed on UNESCO World Heritage List.,Heritage & Archaeology,State of Israel,Megiddo / Hazor / Beer Sheba,Inscribed during 29th World Heritage Committee session (2005). Coordinates from UNESCO 'Maps' pages.,Biblical Tels UNESCO,33.01667,35.56694,https://whc.unesco.org/en/list/1108
15/07/2005,Biblical Tels (Beer Sheba) inscribed on UNESCO World Heritage List.,Heritage & Archaeology,State of Israel,Megiddo / Hazor / Beer Sheba,Inscribed during 29th World Heritage Committee session (2005). Coordinates from UNESCO 'Maps' pages.,Biblical Tels UNESCO,31.24472,34.84083,https://whc.unesco.org/en/list/1108
15/08/2005,"Israel begins disengagement from Gaza, removing settlements and military presence.",Governance & Territory,Gaza Strip,Gaza Strip,Occurs in context of Second Intifada and changing control dynamics.,Gaza disengagement (linked to resistance outcomes),31.5017,34.4668,https://www.un.org/unispal/document/auto-insert-199876/
25/01/2006,Hamas wins majority in Palestinian Legislative Council elections.,Governance & Territory,Palestinian Authority,West Bank and Gaza Strip,Leads to political split between Hamas (Gaza) and Fatah (West Bank).,Hamas election victory,31.9038,35.2034,
28/06/2006,Operation Summer Rains launched by Israeli forces in the Gaza Strip following capture of soldier Gilad Shalit.,Military,Gaza Strip (Israeli military operation,Gaza Strip,Operation followed capture of Israeli soldier Gilad Shalit on 25 June 2006. Major Israeli offensive; infrastructure damage.,Operation Summer Rains,31.5017,34.4668,https://www.un.org/unispal/document/auto-insert-197800/
01/02/2008,Egyptian natural gas exports to Israel begin via the El-Arish Ashkelon pipeline; creates cross-border supply dependence.,Energy,Egypt,Sinai Peninsula to Ashkelon,Supply initiated early 2008 under EMG agreement; pipeline later repeatedly disrupted 2011 2012. Dependency becomes vulnerability during later sabotage/political rupture.,Egypt gas exports start,31.6767,34.5743,https://www.eia.gov/international/analysis/regions-of-interest/Eastern_Mediterranean
27/12/2008,Operation Cast Lead begins with Israeli airstrikes in the Gaza Strip with widespread destruction.,Military,Gaza Strip (Palestinian territory),Gaza Strip,Operation lasted until January 2009 and involved large-scale infrastructure damage. High civilian casualties; significant infrastructure damage.,Operation Cast Lead,31.5017,34.4668,https://www.un.org/unispal/document/auto-insert-201307/
08/07/2008,Bah   Holy Places in Haifa and the Western Galilee inscribed on the UNESCO World Heritage List. (serial property).,Heritage & Archaeology,State of Israel,Haifa (Mount Carmel) and Western Galilee,Inscribed during 32nd World Heritage Committee session (2008). Coordinates from UNESCO 'Maps' page (component: North Slope of Mount Carmel).,Bah   Holy Places UNESCO,32.814594,34.987278,https://whc.unesco.org/en/list/1220
17/01/2009,Tamar offshore natural gas field discovery announced in the Levant Basin.,Energy,State of Israel (offshore EEZ),Tamar gas field,Major deep-water discovery enabling transition to gas-based electricity generation. Foundation of gas-dominant electricity era under 'electricity island' conditions.,Tamar discovered,32.2,34.9,https://www.offshore-technology.com/projects/tamar-field/
18/05/2009,Knesset research memorandum published on raptor electrocution mitigation along electricity infrastructure. Porashim Kanef operations (includes scans along power lines and mapping cases).,Conservation & Environment,State of Israel,National electricity transmission network,Documents Porashim Kanef monitoring and pole retrofitting programme. Institutionalises electrocution as a monitored externality with mitigation programs.,Knesset memo on electrocution,31.7683,35.2137,https://web.archive.org/web/20240207224530/https://fs.knesset.gov.il/globaldocs/MMM/96c18d55-f7f7-e411-80c8-00155d010977/2_96c18d55-f7f7-e411-80c8-00155d010977_11_8809.pdf
15/12/2009,OCHA Special Focus report issued describing planning and zoning regime in Area C applied by Israeli authorities.,Governance & Territory,"Israeli Civil Administration (Area C, West Bank)",West Bank Area C,"Report outlines planning authority and permit system affecting development. Key reference for how permits, zoning, and restrictions shape Palestinian development and infrastructure.",Area C planning regime (OCHA),31.9522,35.2332,https://www.ochaopt.org/content/restricting-space-planning-regime-applied-israel-area-c-west-bank
30/12/2010,Leviathan offshore natural gas field discovery announced in the eastern Mediterranean.,Energy,State of Israel (offshore EEZ),Leviathan gas field,One of the largest deep-water gas discoveries in the region. Expands reserves; later supports exports and increases strategic importance of offshore infrastructure.,Leviathan discovered,33.1,34.65,https://www.offshore-technology.com/projects/leviathan-gas-field/
05/02/2011,"Repeated sabotage attacks begin on Sinai gas pipeline supplying Israel and Jordan, disrupting Egyptian gas supplies (2011-2012 period).",Energy,Egypt,Sinai Peninsula gas pipeline,Series of attacks during 2011 2012 disrupted Egyptian gas exports. Commonly cited as accelerating urgency for domestic offshore gas development.,Sinai gas disruptions,31.215,34.242,https://www.eia.gov/todayinenergy/detail.php?id=5170
14/11/2012,Operation Pillar of Defense begins with Israeli airstrikes in the Gaza Strip with targeted killings and rocket attacks.,Military,Gaza Strip (Palestinian territory),Gaza Strip,Eight-day escalation between Israel and armed groups in Gaza.,Operation Pillar of Defense,31.5017,34.4668,https://www.un.org/unispal/document/auto-insert-201677/
02/04/2012,Two UNESCO actions: Ancient City of Samaria (Sebastia) and Wadi Gaza added to UNESCO Tentative List by Palestine.,Heritage & Archaeology,State of Palestine,Sebastia & Wadi Gaza,Submitted to UNESCO Tentative List as potential World Heritage properties. Coordinates from UNESCO Tentative List entries.,Sebastia & Wadi Gaza UNESCO TL,32.28333333,35.18333333,https://whc.unesco.org/en/statesparties/ps
23/04/2012,Egypt cancels natural gas supply agreement with Israel.,Energy,Egypt / Israel,Egypt Israel gas agreement,Cancellation followed repeated pipeline disruptions. Further drives domestic offshore gas as strategic priority.,Egypt gas contract cancelled,31.6767,34.5743,https://www.reuters.com/article/world/blast-rocks-egypts-gas-pipeline-to-israel-jordan-idUSBRE86L00T/
